t_loss,t_miou,t_dice,v_loss,v_miou,v_dice,time
0.7269652001559734,0.1571344882249832,0.2730347812175751,0.787063119204148,0.1181763559579849,0.2129368633031845,2024-06-27 03:42:05
0.6238230615854263,0.2307691574096679,0.3761769235134125,0.5754001892131307,0.2595707476139068,0.4245997667312622,2024-06-27 03:42:08
0.506377000361681,0.3286440074443817,0.4936230182647705,0.4277742867884428,0.3900945484638214,0.5722256898880005,2024-06-27 03:42:11
0.4355978816747665,0.3878239095211029,0.564402163028717,0.377831687097964,0.4514274597167969,0.6221683025360107,2024-06-27 03:42:14
0.3994060903787613,0.4204128086566925,0.6005938649177551,0.3692190206569174,0.4645520448684692,0.6307809948921204,2024-06-27 03:42:17
0.383812814950943,0.4243885576725006,0.6161872148513794,0.3415859574856965,0.4838015437126159,0.6584140658378601,2024-06-27 03:42:20
0.3629673197865486,0.4573946893215179,0.637032687664032,0.3329033074171647,0.4957866966724396,0.6670966744422913,2024-06-27 03:42:23
0.3497626148164272,0.4785377383232116,0.6502373814582825,0.3187250287636466,0.5084404349327087,0.681274950504303,2024-06-27 03:42:26
0.3410161584615707,0.4847313463687897,0.6589838862419128,0.3219928093578504,0.4959923326969147,0.678007185459137,2024-06-27 03:42:29
0.3263136111199856,0.5022839307785034,0.6736863851547241,0.3016290716502977,0.5329686999320984,0.6983708739280701,2024-06-27 03:42:32
0.3217782191932201,0.5099494457244873,0.6782217621803284,0.3153170787769815,0.5129640698432922,0.6846829056739807,2024-06-27 03:42:35
0.3102472834289074,0.5224238634109497,0.6897526383399963,0.3086531602818033,0.5221257209777832,0.6913468241691589,2024-06-27 03:42:38
0.301193255931139,0.5374165773391724,0.6988067626953125,0.2922938647477523,0.5489742159843445,0.707706093788147,2024-06-27 03:42:41
0.2819168455898762,0.5516703128814697,0.7180831432342529,0.3001332049784453,0.5320231914520264,0.6998668313026428,2024-06-27 03:42:44
0.269292451441288,0.5707899332046509,0.7307075262069702,0.2899574637413025,0.5422884225845337,0.7100425362586975,2024-06-27 03:42:47
0.2798941768705845,0.5543289184570312,0.720105767250061,0.2832650386768838,0.5514400601387024,0.7167349457740784,2024-06-27 03:42:49
0.2801828309893608,0.5631628632545471,0.7198171615600586,0.2756992552591407,0.5683956742286682,0.724300742149353,2024-06-27 03:42:51
0.2643646411597729,0.577771008014679,0.7356353998184204,0.3461704902026964,0.4933808445930481,0.6538295745849609,2024-06-27 03:42:54
0.2642520852386951,0.5833045244216919,0.7357478737831116,0.2751160860061645,0.5601596832275391,0.7248838543891907,2024-06-27 03:42:57
0.253745973110199,0.5913920402526855,0.746254026889801,0.2771796247233515,0.5691707730293274,0.7228202819824219,2024-06-27 03:42:59
0.2536477446556091,0.5900346636772156,0.7463523149490356,0.2644849290018496,0.5773501992225647,0.7355151176452637,2024-06-27 03:43:02
0.2538256607949734,0.5903162360191345,0.7461743950843811,0.2520044679227082,0.5915223956108093,0.7479956150054932,2024-06-27 03:43:05
0.2485870867967605,0.591852068901062,0.7514129281044006,0.2866865526074948,0.5497578978538513,0.7133134603500366,2024-06-27 03:43:07
0.2476183772087097,0.6006174683570862,0.7523815631866455,0.2655975870464159,0.5790321230888367,0.7344023585319519,2024-06-27 03:43:10
0.2471479922533035,0.6011494994163513,0.7528520226478577,0.2698686641195546,0.5664230585098267,0.7301313281059265,2024-06-27 03:43:12
0.2374578565359115,0.6178332567214966,0.762542188167572,0.2835015602733778,0.556370735168457,0.7164984345436096,2024-06-27 03:43:14
0.2349201589822769,0.6165340542793274,0.7650798559188843,0.2590803996376369,0.5863562226295471,0.7409195899963379,2024-06-27 03:43:17
0.2282876670360565,0.6241744160652161,0.7717123627662659,0.2757517721342004,0.5644975900650024,0.7242482304573059,2024-06-27 03:43:19
0.2305604927241802,0.6144364476203918,0.7694394588470459,0.3139799651892289,0.5196476578712463,0.686020016670227,2024-06-27 03:43:22
0.2245391830801963,0.6261231303215027,0.7754608392715454,0.2756469379300656,0.5653438568115234,0.7243529558181763,2024-06-27 03:43:24
0.2259586006402969,0.6274716854095459,0.7740414142608643,0.3067131768102231,0.5337537527084351,0.6932867169380188,2024-06-27 03:43:27
0.2300602123141288,0.6267588138580322,0.7699397802352905,0.2705523630847101,0.5696133971214294,0.7294476628303528,2024-06-27 03:43:30
0.2213833965361118,0.6347912549972534,0.7786166071891785,0.25874037846275,0.5759477019309998,0.7412596940994263,2024-06-27 03:43:32
0.2306160703301429,0.6242018938064575,0.7693839073181152,0.3155076270518095,0.5398935675621033,0.684492290019989,2024-06-27 03:43:34
0.2251596339046955,0.6277680993080139,0.7748403549194336,0.2791059950123662,0.5607047080993652,0.7208940386772156,2024-06-27 03:43:36
0.2210810892283916,0.6410654783248901,0.7789189219474792,0.278943481652633,0.573985755443573,0.7210564613342285,2024-06-27 03:43:39
0.2111638374626636,0.649253785610199,0.7888361215591431,0.261232694853907,0.5852493047714233,0.7387672662734985,2024-06-27 03:43:41
0.2125767916440963,0.639546275138855,0.7874231934547424,0.2659106876539147,0.579601526260376,0.7340893149375916,2024-06-27 03:43:43
0.2212788984179496,0.6411790251731873,0.7787211537361145,0.2547094925590183,0.5925704836845398,0.7452905178070068,2024-06-27 03:43:46
0.2087333761155605,0.6487419605255127,0.7912666201591492,0.2759746935056603,0.575654923915863,0.7240253686904907,2024-06-27 03:43:48
0.210459865629673,0.6486783623695374,0.7895401120185852,0.3136777566826861,0.5339576005935669,0.6863222122192383,2024-06-27 03:43:51
0.2075524590909481,0.6542767286300659,0.792447566986084,0.2653478021207063,0.5807968378067017,0.7346522212028503,2024-06-27 03:43:53
