t_loss,t_miou,t_dice,v_loss,v_miou,v_dice,time
0.5547254394335919,0.2733664810657501,0.4452745318412781,0.3141787622285926,0.5148836374282837,0.6858212351799011,2024-06-27 03:46:36
0.3241086401135089,0.4537625610828399,0.6758913397789001,0.295583849367888,0.5324451327323914,0.7044162154197693,2024-06-27 03:46:40
0.2519534467214561,0.5361499786376953,0.7480465769767761,0.3630918186643849,0.4672056138515472,0.6369081735610962,2024-06-27 03:46:45
0.213354921484568,0.5836011171340942,0.7866451144218445,0.3543531946513963,0.479211688041687,0.6456468105316162,2024-06-27 03:46:49
0.1908199873315282,0.6188427805900574,0.8091800212860107,0.2896253622096518,0.5548965930938721,0.710374653339386,2024-06-27 03:46:53
0.1773759808885046,0.6239952445030212,0.8226240873336792,0.3984063060387321,0.4422310590744018,0.6015936732292175,2024-06-27 03:46:57
0.1591366385839071,0.6559285521507263,0.8408634066581726,0.305823847003605,0.5366079807281494,0.694176197052002,2024-06-27 03:47:01
0.1525929771273969,0.6639310717582703,0.8474070429801941,0.3727244086887525,0.4726556837558746,0.6272756457328796,2024-06-27 03:47:05
0.1443601846694946,0.6732594966888428,0.8556396961212158,0.4080220823702605,0.4356727600097656,0.5919778943061829,2024-06-27 03:47:10
0.1375248812767396,0.6879914999008179,0.8624750971794128,0.3642608341963395,0.479256808757782,0.6357391476631165,2024-06-27 03:47:14
0.1317582453589841,0.6907845735549927,0.8682417273521423,0.2742402786793916,0.5669875144958496,0.725759744644165,2024-06-27 03:47:18
0.1329166731202458,0.6924982666969299,0.8670833706855774,0.294971051423446,0.5556873083114624,0.7050289511680603,2024-06-27 03:47:23
0.1252955966685191,0.7027608752250671,0.8747043609619141,0.330977667932925,0.5113390684127808,0.6690223217010498,2024-06-27 03:47:27
0.120011120675558,0.7057672142982483,0.8799889087677002,0.3578716050023618,0.4763040542602539,0.6421284079551697,2024-06-27 03:47:31
0.115146474665906,0.7253726720809937,0.8848536014556885,0.4130065622537032,0.4320316612720489,0.586993396282196,2024-06-27 03:47:35
0.1141506850001323,0.722791850566864,0.8858493566513062,0.383604954118314,0.455529510974884,0.6163949370384216,2024-06-27 03:47:39
0.1109748518610575,0.7242575287818909,0.8890252113342285,0.3520303498143735,0.4920652210712433,0.6479696035385132,2024-06-27 03:47:43
0.109973806932748,0.7267414927482605,0.8900261521339417,0.3913236027178557,0.4495806396007538,0.6086763739585876,2024-06-27 03:47:47
0.1103467424231839,0.7312667369842529,0.889653205871582,0.3021027756773907,0.5343381762504578,0.69789719581604,2024-06-27 03:47:52
0.1057329378932355,0.7328072786331177,0.8942670822143555,0.3946760063586028,0.4479884803295135,0.6053239703178406,2024-06-27 03:47:56
0.1058602871665035,0.7306919097900391,0.8941396474838257,0.4568711545156396,0.3856553137302398,0.5431289076805115,2024-06-27 03:48:00
0.1037148136690438,0.7348464727401733,0.8962852954864502,0.3578893801440363,0.4867319166660309,0.6421106457710266,2024-06-27 03:48:04
0.1009091239377676,0.7479798197746277,0.8990908861160278,0.4080929289693418,0.431385338306427,0.5919070243835449,2024-06-27 03:48:08
0.09644908287439,0.7531603574752808,0.9035510420799256,0.3593846144883529,0.4885036647319793,0.6406154036521912,2024-06-27 03:48:12
0.094081610800272,0.749394953250885,0.9059184193611144,0.3637634360271951,0.4768047332763672,0.6362366080284119,2024-06-27 03:48:16
0.0965937246759253,0.7573409676551819,0.9034061431884766,0.4073524034541586,0.4349035620689392,0.5926476120948792,2024-06-27 03:48:20
0.0919450054685753,0.7523793578147888,0.908055067062378,0.4050402200740317,0.4432199001312256,0.5949597358703613,2024-06-27 03:48:24
0.0936555144298507,0.7581151723861694,0.9063445925712584,0.4486670157183771,0.3930088579654693,0.551332950592041,2024-06-27 03:48:28
0.0931872761393168,0.7648022174835205,0.9068126678466796,0.3855151249014813,0.4604929983615875,0.6144849061965942,2024-06-27 03:48:32
0.0893838599503758,0.76908940076828,0.910616099834442,0.4265514586282813,0.4210780560970306,0.5734485387802124,2024-06-27 03:48:36
0.0885020745805947,0.7624090313911438,0.9114978909492492,0.3731000216110893,0.4721295237541199,0.6268999576568604,2024-06-27 03:48:41
0.0892536640167236,0.768151044845581,0.9107463955879213,0.4019762355348338,0.4452661871910095,0.5980237722396851,2024-06-27 03:48:45
0.0871403296309781,0.7725080251693726,0.9128597378730774,0.3870355279549308,0.4550580084323883,0.6129644513130188,2024-06-27 03:48:50
0.0864723066249525,0.7748606204986572,0.9135277271270752,0.4805556121079818,0.3675472438335418,0.5194444060325623,2024-06-27 03:48:54
0.0864547462348478,0.7737177014350891,0.9135451912879944,0.4174325595731321,0.4313910007476806,0.5825674533843994,2024-06-27 03:48:59
0.0865914972431688,0.7742440104484558,0.9134085774421692,0.4718298678812773,0.374225914478302,0.528170108795166,2024-06-27 03:49:04
0.0863254314445587,0.7664709091186523,0.9136745929718018,0.3791128785713859,0.4731906354427337,0.6208871603012085,2024-06-27 03:49:09
0.0862217796854225,0.770118236541748,0.9137781858444214,0.3848458450773488,0.461679071187973,0.6151540875434875,2024-06-27 03:49:13
0.0846885277564267,0.7734845876693726,0.9153113961219788,0.4679769718128702,0.3800610303878784,0.532023012638092,2024-06-27 03:49:18
0.086180628064167,0.7663890719413757,0.9138193726539612,0.4856094070102857,0.3602465689182281,0.5143905878067017,2024-06-27 03:49:22
0.0822518826967262,0.7784774899482727,0.9177481532096864,0.4403336644172668,0.4052635729312897,0.5596664547920227,2024-06-27 03:49:26
0.0831080603312297,0.7801012992858887,0.916891872882843,0.423381727674733,0.4288135170936584,0.5766182541847229,2024-06-27 03:49:31
0.081969239625586,0.7728320360183716,0.9180306792259216,0.3687926608583201,0.4772712886333465,0.6312073469161987,2024-06-27 03:49:36
0.0811548994248171,0.7746052742004395,0.9188451170921326,0.3557905710261801,0.4916909635066986,0.6442093849182129,2024-06-27 03:49:40
0.0825674490756299,0.7755478024482727,0.9174326062202454,0.4473451298216115,0.3962412178516388,0.5526548624038696,2024-06-27 03:49:44
